Schedule Results Log
=====================
This file contains results of multiple simulations
----------------------------------------

Execution Date: 2024-11-11 17:03:01
Execution Duration: 10245.86 seconds (2h50min)

[Update 1] Lower Bound: 8726.813109604844
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: OFF, P2: ON, P3: ON
Time 21: P1: OFF, P2: ON, P3: ON
Time 22: P1: OFF, P2: ON, P3: ON
Time 23: P1: OFF, P2: OFF, P3: ON
Time 24: P1: ON, P2: ON, P3: ON

[Update 2] Lower Bound: 8724.450303957545
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: OFF, P2: ON, P3: ON
Time 21: P1: OFF, P2: ON, P3: ON
Time 22: P1: OFF, P2: ON, P3: ON
Time 23: P1: ON, P2: ON, P3: ON
Time 24: P1: OFF, P2: OFF, P3: ON

[Update 3] Lower Bound: 8723.524554159882
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: OFF, P2: ON, P3: ON
Time 21: P1: OFF, P2: ON, P3: ON
Time 22: P1: ON, P2: ON, P3: ON
Time 23: P1: OFF, P2: ON, P3: ON
Time 24: P1: OFF, P2: OFF, P3: ON

[Update 4] Lower Bound: 8674.839173818007
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: OFF, P2: ON, P3: ON
Time 21: P1: OFF, P2: ON, P3: ON
Time 22: P1: ON, P2: ON, P3: ON
Time 23: P1: ON, P2: ON, P3: ON
Time 24: P1: OFF, P2: OFF, P3: OFF

[Update 5] Lower Bound: 8641.416642549091
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: ON, P2: ON, P3: ON
Time 21: P1: OFF, P2: OFF, P3: ON
Time 22: P1: ON, P2: OFF, P3: ON
Time 23: P1: ON, P2: OFF, P3: ON
Time 24: P1: ON, P2: OFF, P3: ON

[Update 6] Lower Bound: 8617.427180837863
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: ON, P2: ON, P3: ON
Time 21: P1: OFF, P2: OFF, P3: ON
Time 22: P1: ON, P2: OFF, P3: ON
Time 23: P1: ON, P2: ON, P3: ON
Time 24: P1: OFF, P2: OFF, P3: ON

[Update 7] Lower Bound: 8616.527312562052
Pump Schedule (Time Step : Pump Status):
Time 1: P1: ON, P2: ON, P3: OFF
Time 2: P1: ON, P2: ON, P3: OFF
Time 3: P1: ON, P2: ON, P3: OFF
Time 4: P1: ON, P2: ON, P3: ON
Time 5: P1: ON, P2: ON, P3: ON
Time 6: P1: ON, P2: ON, P3: ON
Time 7: P1: ON, P2: ON, P3: ON
Time 8: P1: ON, P2: ON, P3: ON
Time 9: P1: ON, P2: ON, P3: ON
Time 10: P1: ON, P2: ON, P3: ON
Time 11: P1: ON, P2: ON, P3: ON
Time 12: P1: ON, P2: ON, P3: ON
Time 13: P1: ON, P2: ON, P3: ON
Time 14: P1: ON, P2: ON, P3: ON
Time 15: P1: ON, P2: ON, P3: ON
Time 16: P1: OFF, P2: ON, P3: ON
Time 17: P1: ON, P2: ON, P3: ON
Time 18: P1: ON, P2: ON, P3: ON
Time 19: P1: OFF, P2: ON, P3: ON
Time 20: P1: ON, P2: ON, P3: ON
Time 21: P1: OFF, P2: OFF, P3: ON
Time 22: P1: ON, P2: ON, P3: ON
